time,rr,hr,hrv,gsr
1,777,54,1.338,1257
2,726,54,1.315,1256
3,812,56,1.302,1257
4,864,56,1.302,1255
5,779,54,1.348,1254
6,1875,57,1.348,1253
7,939,57,1.348,1253
8,987,59,1.318,1252
9,967,58,1.303,1251
10,851,62,1.293,1250
11,937,62,1.293,1250
12,890,63,1.269,1250
13,911,63,1.269,1250
14,913,66,1.257,1248
15,818,66,1.244,1247
16,1682,63,1.297,1245
17,730,63,1.297,1245
18,836,63,1.297,1245
19,790,63,1.276,1245
20,761,63,1.265,1245
21,716,63,1.265,1245
22,696,64,1.244,1244
23,690,64,1.237,1243
24,791,69,1.227,1242
25,757,69,1.227,1242
26,693,67,1.223,1241
27,1246,65,1.224,1240
28,1547,66,1.224,1240
29,867,66,1.216,1239
30,817,67,1.212,1238
31,710,64,1.212,1238
32,1600,64,1.212,1237
33,926,64,1.207,1237
34,839,64,1.201,1236
35,921,63,1.194,1235
36,961,66,1.186,1233
37,918,66,1.185,1234
38,786,66,1.185,1233
39,813,65,1.178,1233
40,961,65,1.178,1234
41,954,64,1.169,1232
42,846,64,1.167,1230
43,1656,60,1.167,1229
44,857,60,1.167,1229
45,795,54,1.163,1229
46,2815,55,1.282,1226
47,906,57,1.282,1225
48,935,57,1.269,1224
49,843,57,1.255,1224
50,744,55,1.255,1223
51,1542,57,1.255,1222
52,1006,57,1.269,1221
53,884,57,1.262,1221
54,844,57,1.251,1220
55,786,55,1.243,1219
56,1599,55,1.243,1219
57,961,55,1.264,1217
58,813,55,1.26,1217
59,2449,51,1.26,1217
60,992,51,1.32,1215
61,930,51,1.307,1214
62,779,53,1.302,1214
63,767,54,1.287,1212
64,814,53,1.276,1212
65,886,59,1.267,1212
66,818,57,1.258,1210
67,1478,58,1.258,1210
68,679,58,1.258,1209
69,710,58,1.247,1208
70,692,60,1.232,1208
71,805,61,1.232,1209
72,923,60,1.218,1207
73,954,61,1.215,1206
74,828,60,1.215,1206
75,898,62,1.205,1205
76,1017,62,1.196,1204
77,981,62,1.195,1204
78,843,64,1.195,1205
79,1750,64,1.195,1202
80,966,65,1.195,1202
81,860,64,1.191,1201
82,842,64,1.183,1200
83,958,63,1.18,1200
84,974,63,1.172,1199
85,914,63,1.167,1198
86,795,65,1.166,1198
87,927,64,1.166,1197
88,928,64,1.158,1197
89,786,64,1.159,1197
90,801,63,1.152,1195
91,948,63,1.153,1194
92,985,63,1.148,1196
93,876,60,1.147,1192
94,1643,61,1.147,1193
95,827,62,1.147,1193
96,748,62,1.145,1193
97,766,62,1.139,1192
98,865,59,1.138,1190
99,2731,59,1.138,1190
100,844,60,1.138,1191
101,814,60,1.129,1189
102,773,60,1.129,1189
103,731,62,1.125,1188
104,619,59,1.128,1188
105,1860,59,1.128,1187
106,770,55,1.193,1185
107,2400,55,1.193,1185
108,754,55,1.193,1185
109,698,52,1.299,1184
110,2388,50,1.299,1184
111,1556,51,1.31,1182
112,849,51,1.31,1181
113,709,53,1.295,1182
114,635,54,1.281,1182
115,640,52,1.281,1180
116,1630,51,1.344,1180
117,956,51,1.344,1179
118,951,55,1.327,1179
119,872,56,1.316,1181
120,762,56,1.307,1179
121,817,53,1.295,1178
122,1951,52,1.35,1176
123,935,52,1.35,1175
124,904,50,1.334,1171
125,2556,50,1.334,1171
126,788,52,1.334,1171
127,1583,51,1.343,1170
128,1050,51,1.33,1171
129,974,51,1.33,1169
130,1985,53,1.33,1168
131,1029,52,1.33,1168
132,1010,52,1.3,1168
133,968,51,1.3,1166
134,858,51,1.28,1167
135,901,52,1.268,1165
136,934,50,1.268,1165
137,1711,50,1.268,1163
138,1001,50,1.26,1162
139,901,50,1.251,1162
140,835,50,1.251,1163
