time,rr,hr,hrv,gsr
659,7323,27,1.225,1013
1352,676,27,1.225,1012
3439,608,29,1.22,1019
3786,1977,32,1.22,1016
6211,532,31,1.345,1010
10346,2383,28,1.345,1025
11039,4190,28,1.345,1006
15852,576,26,1.345,1039
21388,4904,23,1.345,1001
21729,5449,23,1.333,1002
25173,621,24,1.333,1003
28293,3061,23,1.333,1003
28977,3413,23,1.322,998
30371,768,24,1.322,1012
35097,4143,24,1.45,1006
35097,1095,24,1.45,1006
37086,1386,25,1.45,1004
37086,610,25,1.45,1004
39945,693,25,1.45,1000
45103,2787,26,1.45,1007
46083,4881,26,1.45,1007
48094,638,25,1.552,1011
49084,2225,26,1.607,1011
50091,840,25,1.607,1012
51095,1500,27,1.607,1009
52067,662,29,1.577,1016
54027,665,28,1.577,1010
54713,2098,30,1.575,1011
58053,1351,33,1.575,1013
59081,924,35,1.575,1011
59081,2801,35,1.575,1011
70090,282,29,1.575,1015
71090,11009,29,1.575,1015
73091,673,28,1.673,1015
74057,2374,30,1.722,1015
75108,769,30,1.694,1016
75108,896,30,1.694,1016
77092,696,30,1.665,1017
79632,1531,30,1.665,1017
80263,2759,33,1.665,1017
81302,952,33,1.64,1016
81987,816,34,1.64,1016
85779,787,32,1.61,1016
89892,3637,29,1.61,1017
92351,4409,28,1.59,1016
93702,2174,28,1.59,1016
95428,1532,28,1.581,1017
96472,1728,28,1.558,1017
98178,942,29,1.558,1016
100589,1832,28,1.558,1017
102306,2568,27,1.551,1017
105058,1555,34,1.558,1025
107108,2485,32,1.539,1034
113967,2108,29,1.539,1038
117417,6940,27,1.539,1038
120200,3606,26,1.539,1039
121219,2678,26,1.529,1040
134651,1003,20,1.586,1041
140157,13233,19,1.624,1040
143613,5653,18,1.624,1041
145680,3781,18,1.618,1041
152239,1863,17,1.618,1041
157420,6662,16,1.699,1041
160520,4801,16,1.699,1041
169458,3487,15,1.723,1040
171175,8679,15,1.723,1039
174956,1681,15,1.723,1040
179784,3758,14,1.723,1039
183229,4916,14,1.703,1038
195963,3659,12,1.771,1038
199414,12509,12,1.771,1038
201143,3449,12,1.864,1038
203918,1658,12,1.864,1037
205962,2758,13,1.823,1036
208363,2230,13,1.823,1038
210435,2468,13,1.787,1036
212500,1849,13,1.733,1036
214216,2099,15,1.709,1036
215940,1672,15,1.709,1036
222493,1869,15,1.767,1037
224564,6418,15,1.767,1034
225258,1947,16,1.767,1034
226623,932,17,1.767,1034
228006,1418,17,1.724,1035
230076,1256,19,1.719,1035
230761,2050,20,1.719,1035
233878,1001,20,1.719,1034
239056,2989,20,1.716,1033
251430,4914,17,1.716,1031
252460,12656,21,1.759,1031
255227,944,21,1.759,1031
257300,2727,21,1.759,1031
259027,2388,21,1.728,1031
265567,1325,20,1.728,1031
266597,6646,20,1.728,1030
267974,813,20,1.728,1029
270037,1655,20,1.728,1029
271074,1839,20,1.697,1029
274183,1446,20,1.676,1028
276971,2849,21,1.676,1028
278012,2906,22,1.643,1028
279736,912,21,1.643,1027
282160,1816,21,1.643,1027
285611,2466,20,1.614,1028
286648,3282,21,1.614,1028
290422,1329,20,1.656,1026
292830,3554,20,1.707,1026
293869,2561,21,1.778,1027
299736,750,24,1.778,1026
