time,rr,hr,hrv,gsr
1547,2676,33,1.202,1026
1890,2834,33,1.194,1025
2578,683,37,1.194,1028
4291,652,36,1.187,1026
4637,1331,36,1.187,1026
6670,713,35,1.171,1025
6670,694,35,1.171,1025
7419,697,34,1.171,1026
8401,1253,34,1.171,1023
11574,664,32,1.171,1023
12564,2674,31,1.171,1025
13543,902,38,1.192,1022
13543,1423,38,1.192,1022
15600,335,43,1.267,1026
18583,1815,41,1.288,1026
19576,3056,43,1.288,1028
22568,956,42,1.35,1018
23572,1227,43,1.35,1018
23572,2430,43,1.35,1018
25567,639,44,1.35,1018
28606,2258,45,1.339,1018
28606,2021,45,1.339,1018
30604,759,43,1.339,1020
31561,663,45,1.324,1031
31561,1431,45,1.324,1031
34604,695,42,1.438,1022
38565,2499,37,1.438,1021
40567,4372,36,1.438,1021
41574,1917,36,1.438,1020
42569,623,39,1.437,1023
42569,891,39,1.437,1023
46574,3718,36,1.433,1017
46574,845,36,1.433,1017
54551,230,30,1.433,1020
55914,8186,31,1.433,1019
56598,1264,32,1.433,1019
57285,654,33,1.433,1015
57972,711,34,1.416,1010
59001,729,34,1.377,999
60030,726,34,1.377,1005
60720,1320,36,1.377,1004
61406,614,36,1.377,1004
61749,590,37,1.36,1004
63472,573,36,1.343,1010
64158,1664,36,1.343,1014
68634,634,34,1.408,1015
70013,4375,37,1.408,1015
70698,1549,39,1.408,1015
71729,815,39,1.388,1015
72414,800,39,1.388,1015
73791,730,38,1.373,1014
74477,1321,42,1.373,1015
75164,637,42,1.373,1014
75508,636,57,1.355,1013
76544,621,59,1.322,1014
81013,632,49,1.322,1011
81697,4567,49,1.322,1012
83075,796,47,1.322,1012
84790,1512,46,1.309,1012
85479,1610,46,1.309,1012
87545,866,45,1.309,1012
87892,1642,45,1.309,1013
88579,678,44,1.365,1012
89269,651,46,1.349,1012
89957,668,46,1.333,1013
90642,726,54,1.32,1013
91328,739,56,1.305,1012
92017,763,56,1.292,1012
93046,730,56,1.269,1011
94081,677,56,1.269,1013
95118,1374,56,1.269,1011
95802,794,55,1.269,1011
97860,754,52,1.258,1010
98546,2060,52,1.258,1010
100279,745,50,1.258,1010
100947,1507,60,1.258,1009
102318,666,58,1.258,1008
102660,1256,61,1.258,1008
103345,656,64,1.258,1009
104029,690,64,1.248,1008
105065,717,68,1.226,1008
106782,716,63,1.298,1009
107829,1910,61,1.298,1008
108513,1268,61,1.308,1007
109546,658,62,1.296,1008
109888,617,62,1.296,1008
110914,604,62,1.283,1008
113316,1144,56,1.283,1009
114690,2378,55,1.283,1007
115035,1159,57,1.283,1008
115718,576,58,1.283,1010
117104,586,57,1.269,1007
117429,1082,61,1.269,1008
117775,535,62,1.269,1009
118460,533,65,1.256,1008
120862,537,59,1.244,1008
121550,2586,61,1.244,1008
