time,rr,hr,hrv,gsr
96,794,59,1.417,1004
792,1506,64,1.417,1003
3207,642,59,1.464,1007
3554,2445,61,1.464,1007
6311,330,56,1.464,1006
7685,2639,54,1.464,1006
9753,1573,54,1.458,1006
10437,1799,53,1.458,1005
11465,899,53,1.44,1005
12153,824,52,1.44,1007
12847,858,52,1.42,1007
15268,810,50,1.402,1004
16298,2415,49,1.402,1005
16993,904,49,1.465,1006
18020,895,49,1.442,1005
18708,797,50,1.407,1005
19735,761,50,1.389,1006
21110,793,48,1.389,1005
21795,1567,49,1.389,1005
22480,865,49,1.389,1006
23510,783,51,1.375,1004
24895,787,49,1.356,1007
25581,1444,53,1.356,1005
26267,706,52,1.356,1004
29011,740,53,1.341,1002
30727,2394,51,1.341,1004
31761,2183,54,1.329,1004
33146,705,53,1.329,1003
33827,1393,53,1.329,1003
35543,782,51,1.329,1004
36233,1598,51,1.329,1004
37603,729,53,1.329,1004
38290,1421,54,1.329,1003
38990,718,54,1.315,1004
39690,688,55,1.315,1004
41405,690,53,1.299,1004
42780,1610,51,1.351,1004
44846,1679,50,1.335,1003
45541,1809,50,1.322,1004
46575,909,50,1.314,1004
47260,781,50,1.299,1003
48292,790,51,1.289,1004
48975,863,51,1.289,1004
50006,857,51,1.275,1003
53103,780,49,1.266,1003
54481,3111,51,1.266,1004
55178,1544,50,1.266,1004
55874,830,52,1.266,1005
56892,745,52,1.258,1003
57592,801,54,1.249,1003
58288,811,53,1.237,1003
62057,791,48,1.227,1003
62747,3689,49,1.227,1004
65162,635,45,1.227,1001
65836,2481,45,1.227,1001
66867,750,47,1.321,1004
67553,843,48,1.321,1004
70650,875,46,1.306,1001
72365,2957,44,1.41,1002
73741,1844,44,1.42,1001
74427,1223,44,1.424,1001
76153,634,42,1.424,1003
76849,1893,43,1.424,1002
77548,666,43,1.424,1002
78222,663,47,1.403,1001
78911,630,49,1.367,1002
79602,635,49,1.35,1003
82343,653,45,1.35,1002
83034,2666,45,1.35,1002
86468,853,41,1.35,1003
88197,3450,40,1.35,1000
89921,1781,43,1.338,1000
91643,1612,41,1.324,1000
92329,1730,44,1.324,1000
93026,769,44,1.324,1000
94397,732,43,1.311,1001
95412,1536,43,1.311,1000
97136,719,45,1.362,1001
97821,1681,47,1.362,1000
99535,844,46,1.362,1000
101276,1598,44,1.362,999
101959,1724,46,1.348,999
102647,752,46,1.348,1000
103686,831,45,1.323,999
104702,905,45,1.314,999
106073,804,44,1.314,999
106760,1564,43,1.314,999
107444,801,47,1.314,999
108472,729,47,1.29,999
110188,766,50,1.341,998
111232,1769,52,1.341,998
111929,862,54,1.331,998
113644,759,54,1.331,997
115725,2040,51,1.386,998
116409,1791,51,1.386,998
117092,796,53,1.386,997
117784,725,53,1.371,997
118821,799,55,1.358,997
120193,890,53,1.346,998
121221,1611,54,1.346,997
