time,rr,hr,hrv,gsr
854,604,40,1.478,973
1199,605,47,1.478,976
5540,639,43,1.457,974
5884,4214,43,1.457,976
10026,379,43,1.457,974
10711,4179,38,1.457,976
11397,763,38,1.457,975
12774,652,41,1.443,975
13461,1292,44,1.443,977
15178,813,43,1.45,976
16203,1715,42,1.45,976
17585,853,46,1.45,976
18624,1597,45,1.45,977
19310,752,46,1.45,976
20341,793,48,1.416,977
21714,914,47,1.416,977
23778,1621,47,1.416,977
25844,1851,46,1.403,978
26903,942,44,1.403,977
27879,1741,42,1.403,977
28665,1696,42,1.384,976
29999,706,42,1.416,976
31918,746,46,1.462,977
33889,1785,50,1.44,977
33889,1749,50,1.44,977
34789,924,50,1.44,977
35921,850,49,1.403,977
37888,832,48,1.403,976
38881,1801,48,1.403,976
40904,797,46,1.403,974
42891,2718,45,1.512,974
43882,1621,46,1.512,975
44890,752,46,1.492,975
44890,843,46,1.492,975
45885,672,47,1.452,975
46864,632,51,1.43,974
46864,648,51,1.43,974
48881,655,50,1.464,974
49885,1624,52,1.464,974
50881,840,54,1.442,973
52881,858,50,1.442,973
53890,2599,50,1.541,973
54880,757,52,1.515,973
55863,764,54,1.492,973
56894,815,52,1.492,972
58897,1670,50,1.469,972
59878,1699,50,1.469,971
